05/16/2023 08:30:51.740 | DEBUG    |                                      InstallAshita | Installing Ashita into the current process.
05/16/2023 08:30:51.740 | DEBUG    |                             AshitaCore::AshitaCore | .ctor
05/16/2023 08:30:51.740 | DEBUG    |                             AshitaCore::Initialize | <Begin>
05/16/2023 08:30:51.740 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
05/16/2023 08:30:51.740 | DEBUG    |                             AshitaCore::Initialize | Starting initialization...
05/16/2023 08:30:51.740 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Install Path : G:\Ashita-v4beta\
05/16/2023 08:30:51.740 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Config Script: \boot\mybootsettings.ini
05/16/2023 08:30:51.740 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: G:\Ashita-v4beta\\config\boot\mybootsettings.ini
05/16/2023 08:30:51.742 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
05/16/2023 08:30:51.742 | DEBUG    |                             AshitaCore::Initialize | >> BOOT CONFIGURATION DUMP <<
05/16/2023 08:30:51.742 | DEBUG    |                             AshitaCore::Initialize | [ashita.launcher]
05/16/2023 08:30:51.742 | DEBUG    |                             AshitaCore::Initialize |   autoclose : 1
05/16/2023 08:30:51.742 | DEBUG    |                             AshitaCore::Initialize |   name : Example Configuration
05/16/2023 08:30:51.742 | DEBUG    |                             AshitaCore::Initialize | [ashita.boot]
05/16/2023 08:30:51.742 | DEBUG    |                             AshitaCore::Initialize |   file : G:\PlayOnline\SquareEnix\PlayOnlineViewer\pol.exe
05/16/2023 08:30:51.742 | DEBUG    |                             AshitaCore::Initialize |   gamemodule : ffximain.dll
05/16/2023 08:30:51.742 | DEBUG    |                             AshitaCore::Initialize |   script : retail.txt
05/16/2023 08:30:51.742 | DEBUG    |                             AshitaCore::Initialize |   args : 
05/16/2023 08:30:51.742 | DEBUG    |                             AshitaCore::Initialize | [ashita.language]
05/16/2023 08:30:51.742 | DEBUG    |                             AshitaCore::Initialize |   playonline : 2
05/16/2023 08:30:51.742 | DEBUG    |                             AshitaCore::Initialize |   ashita : 2
05/16/2023 08:30:51.742 | DEBUG    |                             AshitaCore::Initialize | [ashita.logging]
05/16/2023 08:30:51.742 | DEBUG    |                             AshitaCore::Initialize |   level : 5
05/16/2023 08:30:51.742 | DEBUG    |                             AshitaCore::Initialize |   crashdumps : 1
05/16/2023 08:30:51.742 | DEBUG    |                             AshitaCore::Initialize | [ashita.taskpool]
05/16/2023 08:30:51.742 | DEBUG    |                             AshitaCore::Initialize |   threadcount : -1
