12/31/2022 10:25:06.070 | DEBUG    |                                      InstallAshita | Installing Ashita into the current process.
12/31/2022 10:25:06.070 | DEBUG    |                             AshitaCore::AshitaCore | .ctor
12/31/2022 10:25:06.070 | DEBUG    |                             AshitaCore::Initialize | <Begin>
12/31/2022 10:25:06.070 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
12/31/2022 10:25:06.070 | DEBUG    |                             AshitaCore::Initialize | Starting initialization...
12/31/2022 10:25:06.070 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Install Path : G:\Ashita-v4beta\
12/31/2022 10:25:06.070 | DEBUG    |                             AshitaCore::Initialize |  - Ashita Config Script: \boot\mybootsettings.ini
12/31/2022 10:25:06.070 | DEBUG    |                         ConfigurationManager::Load | Loading configuration file: G:\Ashita-v4beta\\config\boot\mybootsettings.ini
12/31/2022 10:25:06.072 | DEBUG    |                             AshitaCore::Initialize | ----------------------------------------------------------------------------------------------------
12/31/2022 10:25:06.072 | DEBUG    |                             AshitaCore::Initialize | >> BOOT CONFIGURATION DUMP <<
12/31/2022 10:25:06.072 | DEBUG    |                             AshitaCore::Initialize | [ashita.launcher]
12/31/2022 10:25:06.072 | DEBUG    |                             AshitaCore::Initialize |   autoclose : 1
12/31/2022 10:25:06.072 | DEBUG    |                             AshitaCore::Initialize |   name : Example Configuration
12/31/2022 10:25:06.072 | DEBUG    |                             AshitaCore::Initialize | [ashita.boot]
12/31/2022 10:25:06.072 | DEBUG    |                             AshitaCore::Initialize |   file : G:\PlayOnline\SquareEnix\PlayOnlineViewer\pol.exe
12/31/2022 10:25:06.072 | DEBUG    |                             AshitaCore::Initialize |   gamemodule : ffximain.dll
12/31/2022 10:25:06.072 | DEBUG    |                             AshitaCore::Initialize |   script : retail.txt
12/31/2022 10:25:06.072 | DEBUG    |                             AshitaCore::Initialize |   args : 
12/31/2022 10:25:06.072 | DEBUG    |                             AshitaCore::Initialize | [ashita.language]
12/31/2022 10:25:06.072 | DEBUG    |                             AshitaCore::Initialize |   playonline : 2
